2025-02-15 18:47:55,373 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
2025-02-15 18:51:32,600 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
2025-02-15 18:51:36,265 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
2025-02-15 18:51:37,208 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
2025-02-15 18:51:37,503 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
2025-02-15 18:51:37,762 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
2025-02-15 18:52:20,455 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
2025-02-15 18:52:22,931 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
2025-02-15 18:52:24,231 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
2025-02-15 18:52:26,840 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
2025-02-15 18:53:04,745 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
2025-02-15 18:53:05,008 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
2025-02-15 18:53:05,272 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
2025-02-15 18:53:05,531 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
2025-02-15 18:53:07,054 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
2025-02-15 18:53:07,363 - app.py - ERROR: No nodes match '#text_editor' on MeineAI(title='MeineAI', classes={'-dark-mode'}, pseudo_classes={'dark', 'focus'}) Function: key_ctrl_s in app.py
